theta	dp1	dp2	dp3	dp4	dp5	dp6	dp7	dp8	dp9	dp10	dp11	dp12	dp13	dp14	dp15
0.0500 	0.2971	0.9513	4.736	2.267	3.115	7.965	9.007	23.29	27.05	2.58	6.78	23.75	27.05	27.05	27.05
0.06429	0.4926	1.585	8.154	3.825	5.295	14.25	16.34	27.05	27.05	4.377	12.02	27.05	27.05	27.05	27.05
0.07857	0.7387	2.392	12.91	5.872	8.218	24.38	27.05	27.05	27.05	6.771	20.11	27.05	27.05	27.05	27.05
0.09286	1.036	3.383	19.65	8.500	12.09	27.05	27.05	27.05	27.05	9.911	27.05	27.05	27.05	27.05	27.05
0.1071	1.387	4.574	27.05	11.86	17.30	27.05	27.05	27.05	27.05	14.07	27.05	27.05	27.05	27.05	27.05
0.1214	1.792	5.984	27.05	16.21	24.77	27.05	27.05	27.05	27.05	19.81	27.05	27.05	27.05	27.05	27.05
0.1357	2.254	7.639	27.05	22.09	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05
0.1500	2.775	9.577	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05	27.05
