89.414 2.516
89.59 2.5016
89.747 2.4871
89.851 2.4727
89.875 2.4583
89.79 2.4439
89.564 2.4295
89.295 2.4197
89.181 2.4151
88.662 2.4007
88.028 2.3883
87.937 2.3863
87.103 2.3719
86.761 2.367
86.15 2.3575
85.494 2.3487
85.116 2.3431
84.228 2.3313
84.047 2.3287
82.98 2.3143
82.961 2.314
81.964 2.2999
81.694 2.2962
80.985 2.2855
80.427 2.2772
80.052 2.2711
79.17 2.2567
79.161 2.2565
78.379 2.2423
77.894 2.2333
77.625 2.2279
76.927 2.2134
76.627 2.2071
76.27 2.199
75.643 2.1846
75.36 2.1781
75.038 2.1702
74.446 2.1558
74.094 2.1474
73.855 2.1414
73.269 2.127
72.827 2.1164
72.674 2.1126
72.091 2.0982
71.56 2.0855
71.494 2.0838
70.917 2.0694
70.322 2.055
70.293 2.0543
69.75 2.0406
69.165 2.0262
69.027 2.0228
68.598 2.0118
68.03 1.9974
67.76 1.9906
67.474 1.983
66.933 1.9686
66.493 1.9569
66.395 1.9542
65.885 1.9397
65.372 1.9253
65.226 1.9212
64.878 1.9109
64.386 1.8965
63.96 1.8844
63.882 1.8821
63.385 1.8677
62.855 1.8533
62.693 1.8491
62.318 1.8389
61.764 1.8245
61.426 1.816
61.199 1.8101
60.633 1.7957
60.159 1.7842
60.047 1.7813
59.475 1.7669
58.893 1.7531
58.868 1.7525
58.285 1.7381
57.658 1.7237
57.626 1.7229
57.052 1.7093
56.393 1.6949
56.359 1.6942
55.748 1.6805
55.092 1.6672
55.04 1.666
54.332 1.6516
53.826 1.6425
53.556 1.6372
52.727 1.6228
52.559 1.6202
51.85 1.6084
51.292 1.6001
50.901 1.594
50.025 1.5815
49.905 1.5796
48.898 1.5652
48.759 1.5633
47.892 1.5508
47.492 1.5454
46.88 1.5364
46.225 1.5273
45.872 1.522
44.958 1.5088
44.879 1.5076
43.949 1.4932
43.692 1.4892
43.07 1.4788
42.425 1.4678
42.243 1.4644
41.552 1.45
41.158 1.4406
40.957 1.4356
40.442 1.4212
39.923 1.4067
39.891 1.4058
39.471 1.3923
38.998 1.3779
38.625 1.3674
38.496 1.3635
38.037 1.3491
37.474 1.3347
37.358 1.3315
37.046 1.3203
36.891 1.3059
37.358 1.3
38.625 1.3051
38.72 1.3059
39.891 1.3157
40.485 1.3203
41.158 1.3251
42.425 1.3331
42.702 1.3347
43.692 1.3404
44.958 1.3466
45.533 1.3491
46.225 1.3523
47.492 1.3577
48.759 1.3628
48.944 1.3635
50.025 1.3685
51.292 1.3743
52.042 1.3779
52.559 1.3808
53.826 1.3884
54.442 1.3923
55.092 1.3973
56.269 1.4067
56.359 1.4076
57.626 1.4204
57.7 1.4212
58.893 1.435
58.939 1.4356
60.144 1.45
60.159 1.4502
61.246 1.4644
61.426 1.4669
62.233 1.4788
62.693 1.4858
63.144 1.4932
63.96 1.5065
64.021 1.5076
64.855 1.522
65.226 1.5282
65.703 1.5364
66.493 1.5493
66.582 1.5508
67.461 1.5652
67.76 1.5699
68.364 1.5796
69.027 1.5898
69.294 1.594
70.241 1.6084
70.293 1.6092
71.175 1.6228
71.56 1.6286
72.127 1.6372
72.827 1.6476
73.096 1.6516
74.079 1.666
74.094 1.6663
75.05 1.6805
75.36 1.6849
76.042 1.6949
76.627 1.7031
77.05 1.7093
77.894 1.7211
78.069 1.7237
79.081 1.7381
79.161 1.7392
80.066 1.7525
80.427 1.7577
81.033 1.7669
81.694 1.7768
81.975 1.7813
82.874 1.7957
82.961 1.7971
83.709 1.8101
84.228 1.8192
84.519 1.8245
85.299 1.8389
85.494 1.8426
86.059 1.8533
86.761 1.8665
86.828 1.8677
87.579 1.8821
88.028 1.8906
88.339 1.8965
89.096 1.9109
89.295 1.9148
89.837 1.9253
90.561 1.9394
90.581 1.9397
91.286 1.9542
91.828 1.9653
91.983 1.9686
92.639 1.983
93.095 1.9932
93.273 1.9974
93.857 2.0118
94.362 2.0246
94.419 2.0262
94.919 2.0406
95.394 2.055
95.628 2.0625
95.831 2.0694
96.232 2.0838
96.622 2.0982
96.895 2.1085
97.001 2.1126
97.358 2.127
97.704 2.1414
98.035 2.1558
98.162 2.1618
98.336 2.1702
98.611 2.1846
98.868 2.199
99.11 2.2134
99.34 2.2279
99.429 2.2339
99.548 2.2423
99.74 2.2567
99.93 2.2711
100.13 2.2855
100.33 2.2999
100.57 2.3143
100.7 2.3215
100.82 2.3287
101.1 2.3431
101.45 2.3575
101.89 2.3719
101.96 2.3739
102.38 2.3863
102.99 2.4007
103.23 2.4057
103.69 2.4151
104.5 2.4285
104.56 2.4295
105.66 2.4439
105.76 2.445
